,Stato fondo stradale,Tipo di strada,Condizioni traffico,Data incidente,Stagione
97,Asciutto,Strada Urbana,Scarso,2023-01-14,Inverno
98,Asciutto,Strada Urbana,Normale,2023-01-14,Inverno
99,Bagnato,Strada extraurbana,Normale,2023-01-14,Inverno
100,Bagnato,Strada extraurbana,Normale,2023-01-14,Inverno
101,Asciutto,Strada extraurbana,Normale,2023-01-14,Inverno
102,Bagnato,Strada Urbana,Scarso,2023-01-14,Inverno
103,Bagnato,Strada Urbana,Scarso,2023-01-14,Inverno
104,Asciutto,Strada Urbana,Intenso,2023-01-14,Inverno
105,Asciutto,Strada Urbana,Normale,2023-01-14,Inverno
106,Asciutto,Strada Urbana,Scarso,2023-01-15,Inverno
107,Bagnato,Strada Urbana,Normale,2023-01-15,Inverno
108,Asciutto,Strada Urbana,Scarso,2023-01-15,Inverno
109,Asciutto,Strada Urbana,Scarso,2023-01-15,Inverno
110,Asciutto,Strada Urbana,Scarso,2023-01-15,Inverno
111,Asciutto,Strada Urbana,Normale,2023-01-15,Inverno
112,Asciutto,Strada Urbana,Scarso,2023-01-16,Inverno
113,Asciutto,Strada Urbana,Normale,2023-01-16,Inverno
114,Asciutto,Strada Urbana,Normale,2023-01-16,Inverno
115,Asciutto,Strada Urbana,Scarso,2023-01-16,Inverno
116,Asciutto,Strada Urbana,Normale,2023-01-16,Inverno
117,Asciutto,Strada Urbana,Scarso,2023-01-16,Inverno
118,Asciutto,Strada Urbana,Normale,2023-01-17,Inverno
119,Asciutto,Strada Urbana,Normale,2023-01-17,Inverno
120,Asciutto,Strada Urbana,Scarso,2023-01-17,Inverno
121,Asciutto,Strada Urbana,Scarso,2023-01-17,Inverno
122,Asciutto,Strada Urbana,Intenso,2023-01-17,Inverno
123,Asciutto,Strada Urbana,Scarso,2023-01-18,Inverno
124,Asciutto,Strada Urbana,Intenso,2023-01-18,Inverno
125,Asciutto,Strada extraurbana,Normale,2023-01-18,Inverno
126,Asciutto,Strada Urbana,Scarso,2023-01-18,Inverno
127,Asciutto,Strada extraurbana,Normale,2023-01-18,Inverno
128,Asciutto,Strada Urbana,Scarso,2023-01-18,Inverno
129,Asciutto,Strada Urbana,Normale,2023-01-18,Inverno
130,Asciutto,Strada Urbana,Normale,2023-01-18,Inverno
131,Asciutto,Strada Urbana,Normale,2023-01-18,Inverno
132,Asciutto,Strada Urbana,Scarso,2023-01-18,Inverno
133,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
134,Asciutto,Strada Urbana,Scarso,2023-01-19,Inverno
135,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
136,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
137,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
138,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
139,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
140,Asciutto,Strada Urbana,Scarso,2023-01-19,Inverno
141,Asciutto,Strada Urbana,Scarso,2023-01-19,Inverno
142,Asciutto,Strada Urbana,Normale,2023-01-19,Inverno
143,Asciutto,Strada Urbana,Scarso,2023-01-20,Inverno
144,Asciutto,Strada Urbana,Normale,2023-01-20,Inverno
145,Asciutto,Strada Urbana,Normale,2023-01-20,Inverno
146,Asciutto,Strada extraurbana,Normale,2023-01-20,Inverno
147,Asciutto,Strada Urbana,Normale,2023-01-20,Inverno
148,Asciutto,Strada Urbana,Normale,2023-01-20,Inverno
149,Asciutto,Strada Urbana,Normale,2023-01-20,Inverno
150,Asciutto,Strada Urbana,Scarso,2023-01-20,Inverno
151,Bagnato,Strada Urbana,Scarso,2023-01-20,Inverno
152,Bagnato,Strada Urbana,Scarso,2023-01-21,Inverno
153,Bagnato,Strada Urbana,Scarso,2023-01-21,Inverno
154,Bagnato,Strada Urbana,Scarso,2023-01-21,Inverno
155,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
156,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
157,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
158,Asciutto,Strada Urbana,Intenso,2023-01-21,Inverno
159,Asciutto,Strada extraurbana,Intenso,2023-01-21,Inverno
160,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
161,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
162,Asciutto,Strada Urbana,Scarso,2023-01-21,Inverno
163,Asciutto,Strada Urbana,Normale,2023-01-21,Inverno
164,Asciutto,Strada Urbana,Scarso,2023-01-22,Inverno
165,Asciutto,Strada Urbana,Scarso,2023-01-22,Inverno
166,Asciutto,Strada Urbana,Scarso,2023-01-22,Inverno
167,Bagnato,Strada Urbana,Scarso,2023-01-22,Inverno
168,Bagnato,Strada Urbana,Normale,2023-01-23,Inverno
169,Asciutto,Strada extraurbana,Normale,2023-01-23,Inverno
170,Asciutto,Strada Urbana,Intenso,2023-01-23,Inverno
171,Asciutto,Strada Urbana,Normale,2023-01-23,Inverno
172,Asciutto,Strada Urbana,Intenso,2023-01-23,Inverno
173,Asciutto,Strada Urbana,Normale,2023-01-23,Inverno
174,Asciutto,Strada Urbana,Intenso,2023-01-23,Inverno
175,Asciutto,Strada Urbana,Normale,2023-01-23,Inverno
176,Asciutto,Strada Urbana,Normale,2023-01-23,Inverno
177,Asciutto,Strada Urbana,Normale,2023-01-23,Inverno
178,Asciutto,Strada Urbana,Scarso,2023-01-24,Inverno
179,Asciutto,Strada extraurbana,Intenso,2023-01-24,Inverno
180,Asciutto,Strada extraurbana,Intenso,2023-01-24,Inverno
181,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
182,Asciutto,Strada Urbana,Intenso,2023-01-24,Inverno
183,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
184,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
185,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
186,Asciutto,Strada Urbana,Scarso,2023-01-24,Inverno
187,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
188,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
189,Asciutto,Strada Urbana,Scarso,2023-01-24,Inverno
190,Asciutto,Strada Urbana,Normale,2023-01-24,Inverno
191,Asciutto,Strada Urbana,Scarso,2023-01-24,Inverno
192,Asciutto,Strada Urbana,Intenso,2023-01-24,Inverno
193,Asciutto,Strada Urbana,Scarso,2023-01-24,Inverno
194,Asciutto,Strada Urbana,Normale,2023-01-25,Inverno
195,Bagnato,Strada extraurbana,Normale,2023-01-25,Inverno
196,Bagnato,Strada Urbana,Scarso,2023-01-25,Inverno
197,Bagnato,Strada Urbana,Normale,2023-01-25,Inverno
198,Bagnato,Strada Urbana,Normale,2023-01-25,Inverno
199,Bagnato,Strada extraurbana,Normale,2023-01-25,Inverno
200,Bagnato,Strada Urbana,Normale,2023-01-25,Inverno
201,Bagnato,Strada extraurbana,Normale,2023-01-25,Inverno
202,Asciutto,Strada Urbana,Normale,2023-01-25,Inverno
203,Bagnato,Strada Urbana,Scarso,2023-01-25,Inverno
204,Bagnato,Strada Urbana,Normale,2023-01-25,Inverno
205,Bagnato,Strada Urbana,Normale,2023-01-25,Inverno
206,Asciutto,Strada Urbana,Scarso,2023-01-25,Inverno
207,Bagnato,Strada Urbana,Scarso,2023-01-26,Inverno
208,Bagnato,Strada Urbana,Normale,2023-01-26,Inverno
209,Bagnato,Strada Urbana,Normale,2023-01-26,Inverno
210,Bagnato,Strada Urbana,Intenso,2023-01-26,Inverno
211,Bagnato,Strada Urbana,Normale,2023-01-26,Inverno
212,Bagnato,Strada Urbana,Intenso,2023-01-26,Inverno
213,Bagnato,Strada Urbana,Normale,2023-01-26,Inverno
214,Bagnato,Strada Urbana,Scarso,2023-01-26,Inverno
215,Asciutto,Strada Urbana,Scarso,2023-01-26,Inverno
216,Bagnato,Strada Urbana,Normale,2023-01-26,Inverno
217,Asciutto,Strada Urbana,Normale,2023-01-27,Inverno
218,Bagnato,Strada Urbana,Normale,2023-01-27,Inverno
219,Bagnato,Strada Urbana,Normale,2023-01-27,Inverno
220,Asciutto,Strada Urbana,Normale,2023-01-27,Inverno
221,Bagnato,Strada extraurbana,Intenso,2023-01-27,Inverno
222,Bagnato,Strada Urbana,Normale,2023-01-27,Inverno
223,Bagnato,Strada Urbana,Scarso,2023-01-27,Inverno
224,Bagnato,Strada extraurbana,Normale,2023-01-27,Inverno
225,Bagnato,Strada Urbana,Scarso,2023-01-27,Inverno
226,Bagnato,Strada Urbana,Scarso,2023-01-27,Inverno
227,Bagnato,Strada Urbana,Scarso,2023-01-28,Inverno
228,Bagnato,Strada Urbana,Scarso,2023-01-28,Inverno
229,Bagnato,Strada Urbana,Scarso,2023-01-28,Inverno
230,Asciutto,Strada Urbana,Scarso,2023-01-28,Inverno
231,Asciutto,Strada Urbana,Normale,2023-01-28,Inverno
232,Asciutto,Strada extraurbana,Normale,2023-01-28,Inverno
233,Asciutto,Strada Urbana,Normale,2023-01-28,Inverno
234,Asciutto,Strada Urbana,Scarso,2023-01-28,Inverno
235,Asciutto,Strada Urbana,Normale,2023-01-28,Inverno
236,Asciutto,Strada Urbana,Intenso,2023-01-28,Inverno
237,Asciutto,Strada Urbana,Scarso,2023-01-28,Inverno
238,Asciutto,Strada Urbana,Scarso,2023-01-28,Inverno
239,Asciutto,Strada Urbana,Scarso,2023-01-29,Inverno
240,Asciutto,Strada Urbana,Scarso,2023-01-29,Inverno
241,Bagnato,Strada extraurbana,Normale,2023-01-29,Inverno
242,Bagnato,Strada Urbana,Normale,2023-01-29,Inverno
243,Asciutto,Strada Urbana,Normale,2023-01-29,Inverno
244,Asciutto,Strada Urbana,Scarso,2023-01-30,Inverno
245,Asciutto,Strada Urbana,Normale,2023-01-30,Inverno
246,Asciutto,Strada Urbana,Scarso,2023-01-30,Inverno
247,Asciutto,Strada Urbana,Normale,2023-01-30,Inverno
248,Asciutto,Strada Urbana,Normale,2023-01-30,Inverno
249,Asciutto,Strada Urbana,Scarso,2023-01-30,Inverno
250,Asciutto,Strada Urbana,Normale,2023-01-30,Inverno
251,Asciutto,Strada Urbana,Scarso,2023-01-30,Inverno
252,Asciutto,Strada Urbana,Scarso,2023-01-30,Inverno
253,Asciutto,Strada Urbana,Scarso,2023-01-31,Inverno
254,Asciutto,Strada Urbana,Normale,2023-01-31,Inverno
255,Asciutto,Strada Urbana,Scarso,2023-01-31,Inverno
256,Asciutto,Strada Urbana,Scarso,2023-02-01,Inverno
257,Asciutto,Strada Urbana,Normale,2023-02-01,Inverno
258,Asciutto,Strada Urbana,Scarso,2023-02-01,Inverno
259,Asciutto,Strada Urbana,Intenso,2023-02-01,Inverno
260,Asciutto,Strada Urbana,Normale,2023-02-01,Inverno
261,Asciutto,Strada Urbana,Normale,2023-02-01,Inverno
262,Asciutto,Strada Urbana,Intenso,2023-02-01,Inverno
263,Asciutto,Strada Urbana,Scarso,2023-02-01,Inverno
264,Asciutto,Strada Urbana,Normale,2023-02-01,Inverno
265,Asciutto,Strada Urbana,Scarso,2023-02-01,Inverno
266,Asciutto,Strada Urbana,Scarso,2023-02-02,Inverno
267,Asciutto,Strada Urbana,Normale,2023-02-02,Inverno
268,Asciutto,Strada Urbana,Normale,2023-02-02,Inverno
269,Asciutto,Strada extraurbana,Intenso,2023-02-02,Inverno
270,Asciutto,Strada Urbana,Normale,2023-02-02,Inverno
271,Asciutto,Strada Urbana,Normale,2023-02-02,Inverno
272,Asciutto,Strada Urbana,Scarso,2023-02-02,Inverno
273,Asciutto,Strada extraurbana,Scarso,2023-02-03,Inverno
274,Asciutto,Strada Urbana,Intenso,2023-02-03,Inverno
275,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
276,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
277,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
278,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
279,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
280,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
281,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
282,Asciutto,Strada Urbana,Normale,2023-02-03,Inverno
283,Asciutto,Strada Urbana,Scarso,2023-02-03,Inverno
284,Asciutto,Strada Urbana,Scarso,2023-02-04,Inverno
285,Asciutto,Strada Urbana,Normale,2023-02-04,Inverno
286,Asciutto,Strada Urbana,Intenso,2023-02-04,Inverno
287,Asciutto,Strada Urbana,Normale,2023-02-04,Inverno
288,Asciutto,Strada Urbana,Scarso,2023-02-04,Inverno
289,Asciutto,Strada Urbana,Normale,2023-02-04,Inverno
290,Asciutto,Strada Urbana,Scarso,2023-02-05,Inverno
291,Asciutto,Strada Urbana,Scarso,2023-02-05,Inverno
292,Asciutto,Strada Urbana,Scarso,2023-02-05,Inverno
293,Asciutto,Strada Urbana,Scarso,2023-02-05,Inverno
294,Asciutto,Strada Urbana,Scarso,2023-02-05,Inverno
295,Asciutto,Strada Urbana,Normale,2023-02-06,Inverno
296,Asciutto,Strada Urbana,Normale,2023-02-06,Inverno
297,Asciutto,Strada Urbana,Scarso,2023-02-06,Inverno
298,Asciutto,Strada Urbana,Scarso,2023-02-06,Inverno
299,Asciutto,Strada Urbana,Scarso,2023-02-06,Inverno
300,Asciutto,Strada Urbana,Scarso,2023-02-06,Inverno
301,Asciutto,Strada Urbana,Normale,2023-02-06,Inverno
302,Asciutto,Strada Urbana,Normale,2023-02-06,Inverno
303,Asciutto,Strada Urbana,Scarso,2023-02-07,Inverno
304,Asciutto,Strada Urbana,Normale,2023-02-07,Inverno
305,Asciutto,Strada Urbana,Normale,2023-02-07,Inverno
306,Asciutto,Strada Urbana,Normale,2023-02-07,Inverno
307,Asciutto,Strada Urbana,Normale,2023-02-07,Inverno
308,Asciutto,Strada Urbana,Normale,2023-02-07,Inverno
309,Asciutto,Strada Urbana,Scarso,2023-02-08,Inverno
310,Asciutto,Strada Urbana,Normale,2023-02-08,Inverno
311,Asciutto,Strada Urbana,Normale,2023-02-08,Inverno
312,Asciutto,Strada Urbana,Scarso,2023-02-08,Inverno
313,Asciutto,Strada Urbana,Normale,2023-02-08,Inverno
314,Bagnato,Strada Urbana,Scarso,2023-02-09,Inverno
315,Asciutto,Strada Urbana,Normale,2023-02-09,Inverno
316,Asciutto,Strada Urbana,Intenso,2023-02-09,Inverno
317,Asciutto,Strada Urbana,Normale,2023-02-09,Inverno
318,Asciutto,Strada Urbana,Normale,2023-02-09,Inverno
319,Asciutto,Strada Urbana,Normale,2023-02-09,Inverno
320,Asciutto,Strada Urbana,Scarso,2023-02-09,Inverno
321,Asciutto,Strada Urbana,Normale,2023-02-09,Inverno
322,Asciutto,Strada Urbana,Normale,2023-02-10,Inverno
323,Asciutto,Strada extraurbana,Normale,2023-02-10,Inverno
324,Asciutto,Strada Urbana,Normale,2023-02-10,Inverno
325,Asciutto,Strada Urbana,Normale,2023-02-10,Inverno
326,Asciutto,Strada Urbana,Scarso,2023-02-11,Inverno
327,Asciutto,Strada Urbana,Scarso,2023-02-11,Inverno
328,Asciutto,Strada Urbana,Normale,2023-02-11,Inverno
329,Asciutto,Strada Urbana,Normale,2023-02-11,Inverno
330,Asciutto,Strada Urbana,Scarso,2023-02-11,Inverno
331,Asciutto,Strada Urbana,Normale,2023-02-11,Inverno
332,Asciutto,Strada Urbana,Scarso,2023-02-12,Inverno
333,Asciutto,Strada Urbana,Scarso,2023-02-12,Inverno
334,Asciutto,Strada extraurbana,Normale,2023-02-12,Inverno
335,Asciutto,Strada extraurbana,Intenso,2023-02-12,Inverno
336,Asciutto,Strada Urbana,Scarso,2023-02-13,Inverno
337,Asciutto,Strada Urbana,Normale,2023-02-13,Inverno
338,Asciutto,Strada Urbana,Normale,2023-02-13,Inverno
339,Asciutto,Strada Urbana,Normale,2023-02-13,Inverno
340,Asciutto,Strada Urbana,Intenso,2023-02-13,Inverno
341,Asciutto,Strada Urbana,Normale,2023-02-13,Inverno
342,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
343,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
344,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
345,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
346,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
347,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
348,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
349,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
350,Asciutto,Strada Urbana,Normale,2023-02-14,Inverno
351,Asciutto,Strada Urbana,Scarso,2023-02-14,Inverno
352,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
353,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
