data;temperatura_min;temperatura_media;temperatura_max;flag_t;umr_min;umr_media;umr_max;flag_umr;precipitazione;flag_prec;vvento_media;vvento_max;flag_vv;dvento;dvento_set;flag_dv;radsolare_media;radsolare_max;flag_rad;pressione;flag_pres;
2023-01-01 15:30:00;15.47;15.59;15.71;1;78.24;78.96;79.91;1;0.00;1;0.97;2.11;1;143.10;135.00;1;26.61;155.06;1;1019.68;1;
2023-01-01 16:00:00;15.20;15.40;15.61;1;78.20;78.99;80.35;1;0.00;1;1.07;2.48;1;155.64;157.50;1;48.22;95.20;1;1019.72;1;
2023-01-01 16:30:00;14.80;15.21;15.43;1;79.66;80.39;81.31;1;0.00;1;0.80;2.30;1;200.63;180.00;1;0.00;20.47;1;1019.68;1;
2023-01-01 17:00:00;14.43;14.61;14.91;1;80.06;80.85;82.08;1;0.00;1;0.73;1.95;1;217.35;225.00;1;0.00;0.00;1;1019.72;1;
2023-01-01 17:30:00;14.20;14.35;14.53;1;82.04;82.35;82.91;1;0.00;1;0.55;1.77;1;207.82;180.00;1;0.00;0.00;1;1019.91;1;
2023-01-01 18:00:00;13.89;14.05;14.26;1;82.92;83.33;84.33;1;0.00;1;0.89;1.94;1;178.50;180.00;1;0.00;0.00;1;1020.07;1;
2023-01-01 18:30:00;13.74;13.87;14.00;1;84.63;86.70;88.26;1;0.00;1;0.98;2.30;1;206.46;202.50;1;0.00;0.00;1;1020.19;1;
2023-01-01 19:00:00;13.28;13.52;13.84;1;86.19;87.25;88.35;1;0.00;1;0.93;2.28;1;184.55;202.50;1;0.00;0.00;1;1020.31;1;
2023-01-01 19:30:00;12.98;13.14;13.33;1;83.28;85.74;87.30;1;0.00;1;1.05;2.68;1;219.31;247.50;1;0.00;0.00;1;1020.35;1;
2023-01-01 20:00:00;12.86;13.20;13.36;1;79.84;81.25;82.85;1;0.00;1;1.09;2.31;1;241.92;247.50;1;0.00;0.00;1;1020.33;1;
2023-01-01 20:30:00;11.87;12.17;12.78;1;81.01;82.65;85.37;1;0.00;1;2.33;3.20;1;260.61;270.00;1;0.00;0.00;1;1020.28;1;
2023-01-01 21:00:00;11.03;11.33;11.89;1;81.29;83.10;84.31;1;0.00;1;3.16;3.95;1;261.90;270.00;1;0.00;0.00;1;1020.18;1;
2023-01-01 21:30:00;11.17;11.38;11.55;1;79.69;81.37;84.02;1;0.00;1;3.16;3.78;1;256.51;247.50;1;0.00;0.00;1;1020.24;1;
2023-01-01 22:00:00;10.37;10.70;11.23;1;80.66;81.93;82.49;1;0.00;1;3.20;3.93;1;262.40;270.00;1;0.00;0.00;1;1020.21;1;
2023-01-01 22:30:00;10.22;10.37;10.56;1;80.75;81.20;82.26;1;0.00;1;3.22;3.78;1;264.69;270.00;1;0.00;0.00;1;1020.08;1;
2023-01-01 23:00:00;10.17;10.30;10.46;1;77.99;79.58;81.33;1;0.00;1;3.32;3.93;1;271.55;270.00;1;0.00;0.00;1;1020.12;1;
2023-01-01 23:30:00;10.02;10.21;10.38;1;78.00;78.34;78.69;1;0.00;1;3.11;3.77;1;270.96;270.00;1;0.00;0.00;1;1020.16;1;
2023-01-02 00:00:00;9.74;9.90;10.01;1;77.46;78.30;79.16;1;0.00;1;2.59;3.41;1;274.59;270.00;1;0.00;0.00;1;1020.10;1;
2023-01-02 00:30:00;9.64;9.74;9.84;1;77.82;78.37;78.65;1;0.00;1;2.11;3.20;1;280.33;292.50;1;0.00;0.00;1;1020.00;1;
2023-01-02 01:00:00;9.65;9.83;9.99;1;77.60;78.05;78.42;1;0.00;1;1.80;2.64;1;299.48;292.50;1;0.00;0.00;1;1019.86;1;
2023-01-02 01:30:00;9.61;9.75;9.88;1;77.94;78.39;78.82;1;0.00;1;2.54;3.58;1;291.66;292.50;1;0.00;0.00;1;1019.64;1;
2023-01-02 02:00:00;9.50;9.71;9.98;1;76.77;78.41;79.48;1;0.00;1;2.60;3.41;1;290.71;292.50;1;0.00;0.00;1;1019.60;1;
2023-01-02 02:30:00;9.65;10.09;10.46;1;73.46;76.08;78.24;1;0.00;1;2.52;3.19;1;295.43;292.50;1;0.00;0.00;1;1019.61;1;
2023-01-02 03:00:00;9.32;9.54;9.74;1;76.99;78.08;78.75;1;0.00;1;2.79;3.22;1;291.60;292.50;1;0.00;0.00;1;1019.57;1;
2023-01-02 03:30:00;8.98;9.34;9.64;1;76.49;78.27;79.81;1;0.00;1;2.96;3.41;1;283.65;292.50;1;0.00;0.00;1;1019.47;1;
2023-01-02 04:00:00;8.91;9.30;9.98;1;77.45;79.73;80.70;1;0.00;1;2.91;3.42;1;292.55;292.50;1;0.00;0.00;1;1019.39;1;
2023-01-02 04:30:00;9.86;10.02;10.20;1;74.63;76.16;78.03;1;0.00;1;2.55;2.86;1;300.08;292.50;1;0.00;0.00;1;1019.36;1;
2023-01-02 05:00:00;10.17;10.34;10.59;1;72.31;74.05;75.34;1;0.00;1;2.60;3.21;1;290.32;292.50;1;0.00;0.00;1;1019.29;1;
2023-01-02 05:30:00;9.61;10.14;10.67;1;71.13;74.70;78.22;1;0.00;1;2.52;3.00;1;278.91;270.00;1;0.00;0.00;1;1019.33;1;
2023-01-02 06:00:00;9.55;9.82;10.20;1;72.70;74.90;77.18;1;0.00;1;2.37;3.04;1;266.85;270.00;1;0.00;0.00;1;1019.51;1;
2023-01-02 06:30:00;9.29;9.43;9.65;1;74.84;76.22;78.23;1;0.00;1;2.92;3.38;1;273.03;270.00;1;0.00;0.00;1;1019.71;1;
2023-01-02 07:00:00;8.80;9.49;9.83;1;72.87;75.68;78.85;1;0.00;1;2.97;3.59;1;279.40;270.00;1;0.00;0.00;1;1019.85;1;
2023-01-02 07:30:00;8.42;8.64;8.84;1;76.81;77.99;79.45;1;0.00;1;3.00;3.59;1;274.32;270.00;1;0.00;0.00;1;1019.92;1;
2023-01-02 08:00:00;8.41;8.63;9.00;1;76.17;78.56;80.84;1;0.00;1;3.05;3.59;1;274.78;270.00;1;0.00;0.00;1;1020.09;1;
2023-01-02 08:30:00;8.81;9.07;9.37;1;75.76;77.27;79.64;1;0.00;1;3.08;3.41;1;275.75;270.00;1;68.72;129.18;1;1020.13;1;
2023-01-02 09:00:00;9.36;9.87;10.52;1;72.46;74.64;76.55;1;0.00;1;2.60;3.38;1;268.23;270.00;1;159.38;212.25;1;1020.12;1;
2023-01-02 09:30:00;10.54;11.03;11.75;1;70.73;71.85;72.58;1;0.00;1;1.45;2.28;1;262.31;270.00;1;186.10;236.79;1;1020.19;1;
2023-01-02 10:00:00;11.84;13.24;14.82;1;59.96;65.44;70.24;1;0.00;1;0.25;1.03;1;348.98;315.00;1;228.67;260.99;1;1020.22;1;
2023-01-02 10:30:00;14.34;14.60;14.90;1;59.11;62.84;65.02;1;0.00;1;0.39;0.86;1;110.10;90.00;1;291.10;357.71;1;1020.16;1;
2023-01-02 11:00:00;14.66;14.83;15.18;1;64.51;66.23;68.46;1;0.00;1;0.71;1.74;1;135.15;135.00;1;383.86;409.57;1;1019.86;1;
2023-01-02 11:30:00;14.81;15.01;15.26;1;64.70;66.50;68.11;1;0.00;1;0.84;1.74;1;145.47;135.00;1;380.92;419.23;1;1019.53;1;
2023-01-02 12:00:00;14.83;15.17;15.62;1;65.73;68.04;72.54;1;0.00;1;1.19;2.66;1;150.06;157.50;1;415.61;461.87;1;1019.25;1;
2023-01-02 12:30:00;15.16;15.43;15.70;1;68.58;71.18;73.45;1;0.00;1;2.33;5.96;1;158.71;157.50;1;455.85;464.31;1;1018.81;1;
2023-01-02 13:00:00;15.14;15.29;15.56;1;71.74;73.63;75.28;1;0.00;1;2.69;5.94;1;157.04;157.50;1;405.92;453.10;1;1018.45;1;
2023-01-02 13:30:00;14.99;15.25;15.50;1;74.17;75.91;77.35;1;0.00;1;3.06;5.97;1;157.37;157.50;1;414.32;445.89;1;1018.23;1;
2023-01-02 14:00:00;15.00;15.10;15.25;1;77.53;78.68;80.13;1;0.00;1;3.05;6.16;1;158.85;157.50;1;362.93;423.01;1;1018.03;1;
2023-01-02 14:30:00;14.88;14.98;15.09;1;79.73;80.62;81.37;1;0.00;1;2.97;5.59;1;161.25;157.50;1;277.05;302.19;1;1017.90;1;
2023-01-02 15:00:00;15.01;15.10;15.17;1;77.76;78.85;80.02;1;0.00;1;2.81;7.25;1;164.86;157.50;1;219.80;255.33;1;1017.90;1;
2023-01-02 15:30:00;14.89;14.98;15.09;1;79.12;80.50;81.47;1;0.00;1;2.63;5.42;1;164.89;157.50;1;39.93;134.29;1;1018.00;1;
2023-01-02 16:00:00;14.82;14.93;15.05;1;79.64;80.77;81.43;1;0.00;1;2.37;5.79;1;175.58;157.50;1;71.87;123.30;1;1018.11;1;
2023-01-02 16:30:00;14.47;14.71;14.87;1;78.12;78.90;79.71;1;0.00;1;2.02;4.69;1;193.38;202.50;1;0.00;43.12;1;1018.16;1;
2023-01-02 17:00:00;14.03;14.24;14.52;1;78.34;78.73;79.21;1;0.00;1;1.85;3.96;1;194.91;202.50;1;0.00;0.00;1;1018.19;1;
2023-01-02 17:30:00;13.75;13.89;14.13;1;79.20;80.99;82.71;1;0.00;1;2.00;4.31;1;199.93;202.50;1;0.00;0.00;1;1018.24;1;
2023-01-02 18:00:00;13.40;13.61;13.81;1;82.80;83.46;83.83;1;0.00;1;1.70;3.77;1;203.24;202.50;1;0.00;0.00;1;1018.35;1;
2023-01-02 18:30:00;13.20;13.35;13.46;1;82.91;83.16;83.50;1;0.00;1;1.04;2.66;1;204.58;202.50;1;0.00;0.00;1;1018.44;1;
2023-01-02 19:00:00;12.64;12.86;13.19;1;82.71;84.04;85.04;1;0.00;1;1.48;2.86;1;214.84;225.00;1;0.00;0.00;1;1018.44;1;
2023-01-02 19:30:00;12.31;12.50;12.73;1;78.63;79.96;82.39;1;0.00;1;2.07;3.19;1;243.54;247.50;1;0.00;0.00;1;1018.53;1;
2023-01-02 20:00:00;11.96;12.16;12.33;1;78.77;79.10;79.61;1;0.00;1;1.82;3.04;1;259.80;270.00;1;0.00;0.00;1;1018.61;1;
2023-01-02 20:30:00;11.74;11.87;12.08;1;77.32;78.61;79.48;1;0.00;1;2.24;3.59;1;284.04;292.50;1;0.00;0.00;1;1018.66;1;
2023-01-02 21:00:00;11.45;11.59;11.80;1;76.33;76.62;77.41;1;0.00;1;2.64;3.76;1;289.67;292.50;1;0.00;0.00;1;1018.70;1;
2023-01-02 21:30:00;11.11;11.42;11.62;1;77.52;79.77;82.32;1;0.00;1;2.49;3.77;1;331.04;337.50;1;0.00;0.00;1;1018.81;1;
2023-01-02 22:00:00;10.46;10.74;11.13;1;82.45;87.51;92.78;1;0.00;1;3.28;4.69;1;326.32;315.00;1;0.00;0.00;1;1018.91;1;
2023-01-02 22:30:00;10.47;10.66;10.83;1;92.75;94.45;95.58;1;0.00;1;2.67;4.09;1;311.08;315.00;1;0.00;0.00;1;1018.96;1;
2023-01-02 23:00:00;10.66;10.87;11.04;1;95.14;95.87;96.24;1;0.00;1;2.34;3.59;1;302.01;292.50;1;0.00;0.00;1;1018.99;1;
2023-01-02 23:30:00;10.92;11.02;11.14;1;95.91;96.29;96.71;1;0.00;1;2.08;3.75;1;299.77;292.50;1;0.00;0.00;1;1019.03;1;
2023-01-03 00:00:00;10.81;10.95;11.05;1;96.06;96.54;97.42;1;0.00;1;2.32;3.22;1;292.77;292.50;1;0.00;0.00;1;1018.96;1;
2023-01-03 00:30:00;10.85;11.01;11.25;1;96.31;96.93;98.18;1;0.00;1;2.32;2.86;1;299.03;292.50;1;0.00;0.00;1;1018.85;1;
2023-01-03 01:00:00;11.19;11.36;11.55;1;96.68;97.05;97.85;1;0.00;1;2.30;3.03;1;312.69;315.00;1;0.00;0.00;1;1018.77;1;
2023-01-03 01:30:00;11.44;11.53;11.64;1;95.23;96.14;96.82;1;0.00;1;1.89;2.96;1;308.40;315.00;1;0.00;0.00;1;1018.78;1;
2023-01-03 02:00:00;11.50;11.63;11.74;1;92.93;94.06;95.61;1;0.00;1;1.82;2.48;1;311.67;315.00;1;0.00;0.00;1;1018.88;1;
2023-01-03 02:30:00;11.52;11.68;11.82;1;92.24;92.61;93.69;1;0.00;1;1.81;2.46;1;308.10;315.00;1;0.00;0.00;1;1018.86;1;
2023-01-03 03:00:00;11.67;11.78;11.86;1;91.32;91.79;92.32;1;0.00;1;1.40;2.12;1;305.53;315.00;1;0.00;0.00;1;1018.81;1;
2023-01-03 03:30:00;11.70;11.80;11.92;1;91.30;91.62;92.50;1;0.00;1;1.66;2.28;1;320.31;315.00;1;0.00;0.00;1;1018.66;1;
2023-01-03 04:00:00;11.58;11.68;11.78;1;91.35;91.62;92.21;1;0.00;1;2.18;3.38;1;319.11;315.00;1;0.00;0.00;1;1018.51;1;
2023-01-03 04:30:00;11.39;11.51;11.73;1;91.35;91.96;92.91;1;0.00;1;2.89;4.51;1;333.54;337.50;1;0.00;0.00;1;1018.58;1;
2023-01-03 05:00:00;11.32;11.44;11.58;1;92.78;93.24;93.76;1;0.00;1;2.09;3.38;1;351.94;0.00;1;0.00;0.00;1;1018.68;1;
2023-01-03 05:30:00;11.03;11.23;11.46;1;93.73;94.36;94.98;1;0.00;1;2.34;3.96;1;350.88;337.50;1;0.00;0.00;1;1018.74;1;
2023-01-03 06:00:00;10.78;10.90;11.11;1;94.71;95.44;95.88;1;0.00;1;2.72;3.96;1;341.59;337.50;1;0.00;0.00;1;1018.72;1;
2023-01-03 06:30:00;10.66;10.77;10.88;1;95.57;95.78;95.98;1;0.00;1;2.71;3.95;1;332.11;337.50;1;0.00;0.00;1;1018.83;1;
